TISSUE,CELL_LINE_NAME
Large Intestine,CW-2
Large Intestine,CAR-1
Large Intestine,DIFI
Large Intestine,GP5D
Large Intestine,HCC2998
Large Intestine,HCT-116
Large Intestine,HCT-15
Large Intestine,HT-29
Large Intestine,HT55
Large Intestine,KM12
Large Intestine,LS-123
Large Intestine,LS-180
Large Intestine,LS-411N
Large Intestine,LS-513
Large Intestine,LOVO
Large Intestine,MDST8
Large Intestine,NCI-H716
Large Intestine,NCI-H747
Large Intestine,RCM-1
Large Intestine,RKO
Large Intestine,SK-CO-1
Large Intestine,SNU-175
Large Intestine,SNU-407
Large Intestine,SNU-61
Large Intestine,SNU-C1
Large Intestine,SNU-C2B
Large Intestine,SNU-C5
Large Intestine,SW1116
Large Intestine,SW1417
Large Intestine,SW1463
Large Intestine,SW48
Large Intestine,SW620
Large Intestine,SW626
Large Intestine,SW837
Large Intestine,SW948
Large Intestine,T84
Liver,C3A
Liver,HLE
Liver,HUH-7
Liver,JHH-1
Liver,JHH-2
Liver,JHH-4
Liver,JHH-6
Liver,JHH-7
Liver,SK-HEP-1
Liver,SNU-182
Liver,SNU-387
Liver,SNU-398
Liver,SNU-423
Liver,SNU-449
Liver,HUH-1
Lung,A549
Lung,COLO-668
Lung,COR-L105
Lung,COR-L23
Lung,COR-L279
Lung,COR-L311
Lung,COR-L32
Lung,COR-L88
Lung,COR-L95
Lung,CPC-N
Lung,CALU-3
Lung,CALU-6
Lung,DMS-114
Lung,DMS-273
Lung,DMS-53
Lung,EBC-1
Lung,EMC-BAC-2
Lung,EPLC-272H
Lung,HARA
Lung,HCC-15
Lung,HCC-44
Lung,HCC-78
Lung,HCC-827
Lung,HOP-62
Lung,HOP-92
Lung,IA-LM
Lung,IST-MES1
Lung,IST-SL2
Lung,KNS-62
Lung,LC-1-SQ
Lung,LCLC-103H
Lung,LCLC-97TM1
Lung,LK-2
Lung,LOU-NH91
Lung,LU-135
Lung,LU-139
Lung,LU-165
Lung,LU-65
Lung,LU-99A
Lung,LXF-289
Lung,MPP-89
Lung,MS-1
Lung,MSTO-211H
Lung,NCI-H1048
Lung,NCI-H1092
Lung,NCI-H1155
Lung,NCI-H1299
Lung,NCI-H1341
Lung,NCI-H1355
Lung,NCI-H1417
Lung,NCI-H1435
Lung,NCI-H1563
Lung,NCI-H1568
Lung,NCI-H1573
Lung,NCI-H1581
Lung,NCI-H1623
Lung,NCI-H1648
Lung,NCI-H1650
Lung,NCI-H1651
Lung,NCI-H1666
Lung,NCI-H1688
Lung,NCI-H1693
Lung,NCI-H1694
Lung,NCI-H1703
Lung,NCI-H1755
Lung,NCI-H1781
Lung,NCI-H1792
Lung,NCI-H1793
Lung,NCI-H1838
Lung,NCI-H1869
Lung,NCI-H1876
Lung,NCI-H1915
Lung,NCI-H1944
Lung,NCI-H196
Lung,NCI-H1963
Lung,NCI-H1975
Lung,NCI-H1993
Lung,NCI-H2009
Lung,NCI-H2023
Lung,NCI-H2029
Lung,NCI-H2052
Lung,NCI-H2066
Lung,NCI-H2085
Lung,NCI-H2087
Lung,NCI-H209
Lung,NCI-H211
Lung,NCI-H2122
Lung,NCI-H2141
Lung,NCI-H2170
Lung,NCI-H2228
Lung,NCI-H226
Lung,NCI-H23
Lung,NCI-H2342
Lung,NCI-H2347
Lung,NCI-H2369
Lung,NCI-H2373
Lung,NCI-H2405
Lung,NCI-H2452
Lung,NCI-H2461
Lung,NCI-H2591
Lung,NCI-H2595
Lung,NCI-H2722
Lung,NCI-H2731
Lung,NCI-H2795
Lung,NCI-H28
Lung,NCI-H2818
Lung,NCI-H3122
Lung,NCI-H322M
Lung,NCI-H345
Lung,NCI-H358
Lung,NCI-H441
Lung,NCI-H446
Lung,NCI-H513
Lung,NCI-H520
Lung,NCI-H522
Lung,NCI-H524
Lung,NCI-H526
Lung,NCI-H596
Lung,NCI-H64
Lung,NCI-H650
Lung,NCI-H661
Lung,NCI-H69
Lung,NCI-H720
Lung,NCI-H727
Lung,NCI-H810
Lung,NCI-H82
Lung,NCI-H835
Lung,NCI-H841
Lung,NCI-H847
Lung,PC-14
Lung,RERF-LC-KJ
Lung,RERF-LC-SQ1
Lung,SBC-3
Lung,SBC-5
Lung,SHP-77
Lung,SK-LU-1
Lung,SK-MES-1
Lung,SW1271
Lung,SW1573
Lung,SW900
Lung,UMC-11
Lung,VMRC-LCD
Other,22RV1
Other,BPH-1
Other,CAL-39
Other,DU-145
Other,EGI-1
Other,ETK-1
Other,HUCCT1
Other,LNCAP-CLONE-FGC
Other,MES-SA
Other,NCCIT
Other,NEC8
Other,PC-3
Other,PWR-1E
Other,SK-UT-1
Other,SKN
Other,SW13
Other,TGBC1TKB
Other,TGBC24TKB
Other,VCAP
Ovary,A2780
Ovary,CAOV-4
Ovary,DOV13
Ovary,EFO-21
Ovary,ES-2
Ovary,FU-OV-1
Ovary,HEY
Ovary,IGROV-1
Ovary,KGN
Ovary,KURAMOCHI
Ovary,OAW-28
Ovary,OAW-42
Ovary,OC-314
Ovary,OV-56
Ovary,OV-90
Ovary,OVCA420
Ovary,OVCAR-3
Ovary,OVCAR-4
Ovary,OVCAR-5
Ovary,OVCAR-8
Ovary,OVISE
Ovary,OVKATE
Ovary,OVMIU
Ovary,OVTOKO
Ovary,PA-1
Ovary,PEO1
Ovary,RMG-I
Ovary,SK-OV-3
Ovary,TOV-112D
Ovary,TOV-21G
Ovary,TYK-NU
Pancreas,ASPC-1
Pancreas,BXPC-3
Pancreas,CAPAN-1
Pancreas,CAPAN-2
Pancreas,CFPAC-1
Pancreas,DAN-G
Pancreas,HPAC
Pancreas,HPAF-II
Pancreas,HS-766T
Pancreas,HUP-T3
Pancreas,HUP-T4
Pancreas,KP-1N
Pancreas,KP-2
Pancreas,KP-3
Pancreas,KP-4
Pancreas,MIA-PACA-2
Pancreas,PA-TU-8902
Pancreas,PA-TU-8988T
Pancreas,PANC-02-03
Pancreas,PANC-03-27
Pancreas,PANC-04-03
Pancreas,PANC-08-13
